,repo_name,repo_lang
0,-MonstroOBC-3,Python
1,academia-ruby,Ruby
2,Aluguel-Equipamentos,Ruby
3,AngeloSouza1,
4,api-go,HTML
5,api-ruby,Ruby
6,app-estoque-console,Ruby
7,authentic-rails,Ruby
8,awesome-chatgpt-prompts,
9,BibliotecaDev,
10,calculadora-web,Ruby
11,CateqApp,Ruby
12,Class-Hero,Ruby
13,classificados,Ruby
14,Codigos-Desenvolvedor,Ruby
15,cpf_utils,Ruby
16,csv-viewer,Ruby
17,Cursos-Desenvolvedor,Ruby
18,Dashboard-Clima,Python
19,desafio-felipao-DIO,Ruby
20,desafio-felipao-DIO-2,Ruby
21,Desafio1_Onebit,HTML
22,Desafios-Full-Cycle,TypeScript
23,dio-curso-git-github,
24,dio-lab-portfolio,
25,dio-trilha-java-basico,Java
26,Ecommerce,TypeScript
27,Emoji-Game,Ruby
28,estado-brasileiros-gem,Ruby
29,Exercicios,Ruby
30,filtrar-produtos,Ruby
31,find-my-coffee,Ruby
32,find-my-coffee-api,Ruby
33,folder-project,CSS
34,food-app,Ruby
35,Full-Cycle,Visual Basic 6.0
36,github-readme-stats,
37,GO,Go
38,godot-demo-projects,
39,Imersao-Alura-IA,
40,InventarioMagicoOBC,Python
41,lab-natty-or-not,
42,leitor-xml,Ruby
43,list-email-JR,HTML
44,lista-estudantes,Ruby
45,login-rails,Ruby
46,Mentorship_Project,HTML
47,mind-app,Ruby
48,MonstroOBC-2,Python
49,MonstroOBC-4,Python
50,My-study-plain,Ruby
51,onebitlife,
52,password-generator,Ruby
53,proj-godot,JavaScript
54,project-dio,JavaScript
55,Projeto-IA,JavaScript
56,Python-Estudo,Python
57,QuizApp,Ruby
58,rails-blog,Ruby
59,rails-i18n,
