Título da Vaga;Local;Nível;Modelo de Trabalho;Link da Vaga
Desenvolvedor Back-End Python Pleno;"Ribeirão Preto,
            Sp";Pleno;Remoto;https://99jobs.com/maistodos/jobs/413440-desenvolvedor-back-end-python-pleno?utm_source=tagportal&utm_medium=ses_oportunis&utm_campaign=desenvolvedor-back-end-python-pleno&utm_id=001
Desenvolvedor Back-End Python Sr;"Ribeirão Preto,
            Sp";Sênior;Remoto;https://99jobs.com/maistodos/jobs/419548-desenvolvedor-back-end-python-sr?utm_source=tagportal&utm_medium=ses_oportunis&utm_campaign=desenvolvedor-back-end-python-sr&utm_id=001
Engenheiro De Software Sênior (Python);"São Paulo,
            Sp";Sênior;Remoto;https://gruposmartfit.99jobs.com/vagas/417257-engenheiro-de-software-senior-python?utm_source=tagportal&utm_medium=ses_oportunis&utm_campaign=engenheiro-de-software-senior-python&utm_id=001
Engenheiro De Software Sênior (Python);"São Paulo,
            Sp";Sênior;Presencial;https://gruposmartfit.99jobs.com/vagas/417260-engenheiro-de-software-senior-python?utm_source=tagportal&utm_medium=ses_oportunis&utm_campaign=engenheiro-de-software-senior-python&utm_id=001
Software Engineer - Back-End (Python)...;"Brasília,
            Df";Sênior;Remoto;https://99jobs.com/novatics-tecnologia/jobs/228451-software-engineer-back-end-python-internacional-banco-de-talentos?utm_source=tagportal&utm_medium=ses_oportunis&utm_campaign=software-engineer-back-end-python-internacional-banco-de-talentos&utm_id=001
Desenvolvedor Back-End Python Pleno;"Ribeirão Preto,
            Sp";Pleno;Remoto;https://99jobs.com/maistodos/jobs/413440-desenvolvedor-back-end-python-pleno?utm_source=tagportal&utm_medium=ses_oportunis&utm_campaign=desenvolvedor-back-end-python-pleno&utm_id=001
Desenvolvedor Back-End Python Sr;"Ribeirão Preto,
            Sp";Sênior;Remoto;https://99jobs.com/maistodos/jobs/419548-desenvolvedor-back-end-python-sr?utm_source=tagportal&utm_medium=ses_oportunis&utm_campaign=desenvolvedor-back-end-python-sr&utm_id=001
Engenheiro De Software Sênior (Python);"São Paulo,
            Sp";Sênior;Remoto;https://gruposmartfit.99jobs.com/vagas/417257-engenheiro-de-software-senior-python?utm_source=tagportal&utm_medium=ses_oportunis&utm_campaign=engenheiro-de-software-senior-python&utm_id=001
Engenheiro De Software Sênior (Python);"São Paulo,
            Sp";Sênior;Presencial;https://gruposmartfit.99jobs.com/vagas/417260-engenheiro-de-software-senior-python?utm_source=tagportal&utm_medium=ses_oportunis&utm_campaign=engenheiro-de-software-senior-python&utm_id=001
Software Engineer - Back-End (Python)...;"Brasília,
            Df";Sênior;Remoto;https://99jobs.com/novatics-tecnologia/jobs/228451-software-engineer-back-end-python-internacional-banco-de-talentos?utm_source=tagportal&utm_medium=ses_oportunis&utm_campaign=software-engineer-back-end-python-internacional-banco-de-talentos&utm_id=001
